"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "Markdown", "JSON with Comments", "Properties", "Batch", "Groovy", "XML", "JavaScript", "MS SQL", "Dotenv", "Ruby", "C++", "Swift", "comment", "blank", "total"
"/Users/ibrahimi/Overthought/ios/Overthought/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/ibrahimi/Overthought/ios/Overthought/Images.xcassets/Contents.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/ibrahimi/Overthought/ios/Overthought/Images.xcassets/SplashScreenBackground.colorset/Contents.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/ibrahimi/Overthought/ios/Overthought/Overthought-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"/Users/ibrahimi/Overthought/ios/Overthought/SplashScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 39
"/Users/ibrahimi/Overthought/ios/Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 4, 12, 66
"/Users/ibrahimi/Overthought/ios/Podfile.properties.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/ibrahimi/Overthought/jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/ibrahimi/Overthought/jest.setup.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 98
"/Users/ibrahimi/Overthought/package-lock.json", "JSON", 0, 0, 12766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12767
"/Users/ibrahimi/Overthought/package.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"/Users/ibrahimi/Overthought/src/features/analysis/analysisService.test.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/ibrahimi/Overthought/src/features/analysis/analysisService.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/ibrahimi/Overthought/src/features/auth/authService.test.ts", "TypeScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 139
"/Users/ibrahimi/Overthought/src/features/auth/authService.ts", "TypeScript", 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 61, 440
"/Users/ibrahimi/Overthought/src/features/cases/components/CaseCard.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"/Users/ibrahimi/Overthought/src/features/cases/components/CategoryPill.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"/Users/ibrahimi/Overthought/src/features/cases/components/HeroActionCard.tsx", "TypeScript JSX", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"/Users/ibrahimi/Overthought/src/features/cases/components/ScorePanel.tsx", "TypeScript JSX", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 104
"/Users/ibrahimi/Overthought/src/features/cases/repositories/caseMappers.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 75
"/Users/ibrahimi/Overthought/src/features/cases/repositories/caseRepository.test.ts", "TypeScript", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 230
"/Users/ibrahimi/Overthought/src/features/cases/repositories/caseRepository.ts", "TypeScript", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 250
"/Users/ibrahimi/Overthought/src/features/cases/repositories/caseUpdateRepository.test.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 277
"/Users/ibrahimi/Overthought/src/features/cases/repositories/caseUpdateRepository.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 163
"/Users/ibrahimi/Overthought/src/features/cases/services/useCases.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
